t,c
0.000000000,19.615582501
2.000000000,1.903172763
4.000000000,0.000000000
6.000000000,13.769027166
8.000000000,21.831328354
10.000000000,20.793115971
12.000000000,14.099051445
14.000000000,0.000000000
16.000000000,23.091466684
18.000000000,0.803747329
20.000000000,10.301535929
22.000000000,0.000000000
24.000000000,2.323278037
26.000000000,22.579962488
28.000000000,3.292127239
30.000000000,0.000000000
32.000000000,6.472542471
34.000000000,0.000000000
36.000000000,0.000000000
38.000000000,26.266420507
40.000000000,6.122427681
42.000000000,0.000000000
44.000000000,0.000000000
46.000000000,15.888065738
48.000000000,0.000000000
50.000000000,19.483032058
52.000000000,0.000000000
54.000000000,0.000000000
56.000000000,7.214685511
58.000000000,0.000000000
60.000000000,0.000000000
62.000000000,0.000000000
64.000000000,9.699464970
66.000000000,3.334159419
68.000000000,2.756846133
70.000000000,4.585578104
72.000000000,8.899627895
74.000000000,15.991007844
76.000000000,0.000000000
78.000000000,59.957497587
80.000000000,20.100660335
82.000000000,0.000000000
84.000000000,18.773917104
86.000000000,38.168132273
88.000000000,19.181338077
90.000000000,22.358170669
92.000000000,0.000000000
94.000000000,0.000000000
96.000000000,0.000000000
98.000000000,11.052293614
100.000000000,40.971015002
102.000000000,24.948261393
104.000000000,24.338222027
106.000000000,23.047372429
108.000000000,31.242176204
110.000000000,2.015399463
112.000000000,18.851930081
114.000000000,57.886189544
116.000000000,29.627050177
118.000000000,13.767138051
120.000000000,41.235567857
122.000000000,68.613833310
124.000000000,51.040990034
126.000000000,70.560397176
128.000000000,67.987225128
130.000000000,47.991414757
132.000000000,84.559079420
134.000000000,86.407464838
136.000000000,76.198186915
138.000000000,74.464426058
140.000000000,73.934050515
142.000000000,62.721141899
144.000000000,79.763382609
146.000000000,111.747483294
148.000000000,115.275793666
150.000000000,90.128736532
152.000000000,120.551672009
154.000000000,122.449627895
156.000000000,121.187758642
158.000000000,128.119724016
160.000000000,112.692477912
162.000000000,128.975674213
164.000000000,118.875698815
166.000000000,147.522154628
168.000000000,132.251855471
170.000000000,144.308544099
172.000000000,138.398651022
174.000000000,156.141235960
176.000000000,131.307618318
178.000000000,162.615417061
180.000000000,163.630831477
182.000000000,151.768544305
184.000000000,175.063078969
186.000000000,142.929585967
188.000000000,182.273523659
190.000000000,186.126569787
192.000000000,168.563683482
194.000000000,189.868917541
196.000000000,191.772271630
198.000000000,212.113137778
200.000000000,196.146254499
202.000000000,185.054375019
204.000000000,221.169440202
206.000000000,229.961107270
208.000000000,206.890270103
210.000000000,212.249795572
212.000000000,178.548209497
214.000000000,213.559767541
216.000000000,216.685485647
218.000000000,256.698572778
220.000000000,243.058308772
222.000000000,235.416355108
224.000000000,225.814150813
226.000000000,213.012999056
228.000000000,235.057300163
230.000000000,227.514273889
232.000000000,265.649182178
234.000000000,195.557632867
236.000000000,243.574504427
238.000000000,223.741391257
240.000000000,256.636311566
242.000000000,254.160143246
244.000000000,244.611028230
246.000000000,266.207995531
248.000000000,250.343087265
250.000000000,260.343678987
252.000000000,256.002878129
254.000000000,245.578332643
256.000000000,240.902396980
258.000000000,242.725074756
260.000000000,251.174732221
262.000000000,263.692910743
264.000000000,278.144591141
266.000000000,284.351459570
268.000000000,275.972066612
270.000000000,269.074081709
272.000000000,285.090286737
274.000000000,272.282431735
276.000000000,284.738184904
278.000000000,292.136511758
280.000000000,252.318048478
282.000000000,290.610969824
284.000000000,274.850630261
286.000000000,294.430470990
288.000000000,315.157570466
290.000000000,278.113181165
292.000000000,281.731319131
294.000000000,259.036320965
296.000000000,296.263258917
298.000000000,295.222835021
300.000000000,272.426244383
302.000000000,279.658627620
304.000000000,290.158953823
306.000000000,270.109325637
308.000000000,284.767356598
310.000000000,295.206628487
312.000000000,282.874688377
314.000000000,280.142565575
316.000000000,307.504462227
318.000000000,289.242200507
320.000000000,293.399971480
322.000000000,302.141044298
324.000000000,298.654500516
326.000000000,315.236559783
328.000000000,290.568581284
330.000000000,285.431042862
332.000000000,295.105563860
334.000000000,271.025105483
336.000000000,296.385764295
338.000000000,307.315783327
340.000000000,296.889792419
342.000000000,286.059830092
344.000000000,337.075002011
346.000000000,301.552448038
348.000000000,318.079650167
350.000000000,273.692578729
352.000000000,305.354491133
354.000000000,320.463936687
356.000000000,317.984436745
358.000000000,340.027799830
360.000000000,279.131578137
362.000000000,319.659282783
364.000000000,338.095222549
366.000000000,311.590202835
368.000000000,304.645765787
370.000000000,295.060262382
372.000000000,324.835701842
374.000000000,302.924470431
376.000000000,318.742906052
378.000000000,313.641877492
380.000000000,327.642628144
382.000000000,320.281952758
384.000000000,309.649816788
386.000000000,301.260508560
388.000000000,315.140407264
390.000000000,349.012889007
392.000000000,308.910683911
394.000000000,327.035135128
396.000000000,309.430283342
398.000000000,320.262537443
400.000000000,298.083977784
