t,c
0.000000000,14.087920556
2.000000000,0.000000000
4.000000000,0.000000000
6.000000000,53.830256494
8.000000000,0.000000000
10.000000000,30.467845810
12.000000000,82.976513836
14.000000000,0.000000000
16.000000000,8.502208007
18.000000000,120.670865128
20.000000000,0.000000000
22.000000000,0.000000000
24.000000000,0.000000000
26.000000000,236.549159505
28.000000000,45.574066343
30.000000000,0.000000000
32.000000000,67.147183594
34.000000000,0.000000000
36.000000000,0.000000000
38.000000000,138.964623271
40.000000000,145.724718544
42.000000000,0.000000000
44.000000000,0.000000000
46.000000000,0.000000000
48.000000000,0.000000000
50.000000000,0.000000000
52.000000000,49.880719430
54.000000000,0.000000000
56.000000000,34.708130749
58.000000000,36.131266328
60.000000000,0.000000000
62.000000000,0.000000000
64.000000000,0.000000000
66.000000000,69.437482292
68.000000000,223.221440624
70.000000000,0.000000000
72.000000000,168.962815260
74.000000000,120.300018079
76.000000000,246.052794286
78.000000000,177.783381962
80.000000000,205.026439370
82.000000000,32.041515580
84.000000000,252.752439418
86.000000000,350.546777112
88.000000000,514.277108824
90.000000000,417.158403571
92.000000000,534.638725855
94.000000000,626.699885640
96.000000000,785.421947368
98.000000000,857.563536163
100.000000000,815.895806727
102.000000000,892.619148734
104.000000000,902.515001738
106.000000000,957.775507312
108.000000000,973.968291353
110.000000000,1061.058756962
112.000000000,1072.632213685
114.000000000,1253.543425292
116.000000000,1275.914239418
118.000000000,1355.773008134
120.000000000,1422.106214302
122.000000000,1357.156742658
124.000000000,1582.267733055
126.000000000,1594.911571579
128.000000000,1574.479952656
130.000000000,1517.715328128
132.000000000,1512.035916963
134.000000000,1464.933654721
136.000000000,1528.284617471
138.000000000,1511.340624828
140.000000000,1533.569965692
142.000000000,1685.861659551
144.000000000,1844.278779230
146.000000000,1675.151809234
148.000000000,1730.568399238
150.000000000,1638.257697088
152.000000000,1483.744333295
154.000000000,1677.997897883
156.000000000,1690.228470120
158.000000000,1587.387954320
160.000000000,1711.032560849
162.000000000,1827.644055162
164.000000000,1682.259860662
166.000000000,1627.120634299
168.000000000,1753.022550293
170.000000000,1751.142625080
172.000000000,1661.065150447
174.000000000,1727.388183067
176.000000000,1723.325370328
178.000000000,1621.532644348
180.000000000,1626.291164632
182.000000000,1670.196850202
184.000000000,1707.238640347
186.000000000,1743.025067549
188.000000000,1665.239204506
190.000000000,1754.516509207
192.000000000,1595.932066601
194.000000000,1755.522372767
196.000000000,1775.836602799
198.000000000,1832.809084312
200.000000000,1737.712506853
202.000000000,1659.986956038
204.000000000,1744.432295927
206.000000000,1835.257214987
208.000000000,1738.221894916
210.000000000,1926.529487921
212.000000000,1847.930811593
214.000000000,1632.600548713
216.000000000,1544.343496110
218.000000000,1686.217743901
220.000000000,1871.942556840
222.000000000,1836.407506030
224.000000000,1709.593051468
226.000000000,1715.881701902
228.000000000,1743.196809970
230.000000000,1605.405582131
232.000000000,1726.263376590
234.000000000,1787.739861832
236.000000000,1732.097069357
238.000000000,1786.518239309
240.000000000,1742.175419380
242.000000000,1564.498452251
244.000000000,1730.944366424
246.000000000,1699.489322050
248.000000000,1672.456244181
250.000000000,1733.995217879
252.000000000,1716.044160321
254.000000000,1640.114129183
256.000000000,1667.073787620
258.000000000,1851.390701526
260.000000000,1614.497138773
262.000000000,1647.034483027
264.000000000,1654.908955319
266.000000000,1756.465959469
268.000000000,1900.988582452
270.000000000,1928.023681732
272.000000000,1850.510030681
274.000000000,1544.034320465
276.000000000,1825.766977998
278.000000000,1743.153021902
280.000000000,1649.596870489
282.000000000,1880.836791943
284.000000000,1689.744689509
286.000000000,1703.943800069
288.000000000,1703.782827992
290.000000000,1695.510760422
292.000000000,1715.807176407
294.000000000,1772.192105734
296.000000000,1787.059043610
298.000000000,1735.819720283
300.000000000,1645.663384351
302.000000000,1750.887679492
304.000000000,1707.310193525
306.000000000,1690.909303029
308.000000000,1668.389664941
310.000000000,1639.288274493
312.000000000,1731.517178236
314.000000000,1737.361537403
316.000000000,1821.227813838
318.000000000,1863.371489459
320.000000000,1830.442142911
322.000000000,1694.511923199
324.000000000,1703.041467357
326.000000000,1763.929485956
328.000000000,1854.774136593
330.000000000,1651.964191434
332.000000000,1650.336446955
334.000000000,1736.041711952
336.000000000,1596.296077396
338.000000000,1864.821649843
340.000000000,1804.944649726
342.000000000,1750.565147766
344.000000000,1667.269127909
346.000000000,1657.052402139
348.000000000,1848.431899693
350.000000000,1806.777258173
352.000000000,1830.461920934
354.000000000,1717.027988621
356.000000000,1698.163127041
358.000000000,1687.166334098
360.000000000,1924.918281658
362.000000000,1738.534284971
364.000000000,1780.043013967
366.000000000,1783.860655960
368.000000000,1676.100301925
370.000000000,1675.439714531
372.000000000,1815.610124092
374.000000000,1816.899025045
376.000000000,1853.567475435
378.000000000,1746.255014278
380.000000000,1786.135569381
382.000000000,1789.340976633
384.000000000,1826.701760806
386.000000000,1619.744913398
388.000000000,1705.613860439
390.000000000,1713.136697446
392.000000000,1798.689396740
394.000000000,1744.251929197
396.000000000,1882.729241444
398.000000000,1808.855666664
400.000000000,1624.680922495
